Date,Open,High,Low,Close,Adj Close,Volume
22-05-2014,1048.375,1062,1037.550049,1055.974976,902.287659,4216842
23-05-2014,1059.5,1074.5,1048,1063.949951,909.10199,3094780
26-05-2014,1074.5,1084.800049,1066.800049,1077,920.252747,2650850
27-05-2014,1080.074951,1092.300049,1059,1065.724976,910.618896,1795094
28-05-2014,1070,1079.375,1061.224976,1075.275024,918.778809,1887488
29-05-2014,1072.5,1090,1067.599976,1079.974976,922.794922,2820710
30-05-2014,1079.400024,1083.5,1065.074951,1070.675049,914.848389,2585648
02-06-2014,1072,1078.875,1058.025024,1064.925049,909.935181,1095158
03-06-2014,1064.925049,1069,1052.599976,1064.300049,909.401062,2484628
04-06-2014,1065,1067.449951,1038.5,1044.625,892.589661,2141062
05-06-2014,1041.550049,1058.199951,1034,1052.074951,898.955383,4348470
06-06-2014,1050.074951,1053.900024,1028,1042.125,898.998718,3361586
09-06-2014,1043.5,1059,1040,1056.900024,911.744385,2666196
10-06-2014,1057.5,1080.474976,1057.5,1079.074951,930.873657,2628068
11-06-2014,1082.5,1107,1069.099976,1103.474976,951.922607,3544562
12-06-2014,1124.5,1127,1091.900024,1118.675049,965.035156,2734338
13-06-2014,1119,1119.5,1092.525024,1106.775024,954.769409,1904022
16-06-2014,1105,1138.474976,1105,1134.875,979.010132,2439906
17-06-2014,1142.449951,1148.5,1135.5,1139.925049,983.366577,1918144
18-06-2014,1146.5,1146.5,1110.650024,1113.525024,960.59259,1948824
19-06-2014,1115,1144.5,1105.050049,1138.025024,981.727417,1896354
20-06-2014,1142.449951,1149.5,1131,1146.199951,988.779724,1155674
23-06-2014,1146.5,1149.949951,1127.025024,1134.425049,978.62207,1262734
24-06-2014,1134.5,1159.75,1127.5,1154.525024,995.961548,1479100
25-06-2014,1155,1160,1146.5,1155.275024,996.608521,1028422
26-06-2014,1148,1172.074951,1145.574951,1153.824951,995.357544,2036182
27-06-2014,1158.5,1203.449951,1157.5,1199.775024,1034.996704,3058836
30-06-2014,1200.275024,1217.5,1188.300049,1212.699951,1046.146362,2146470
01-07-2014,1209.449951,1209.5,1191.150024,1195.375,1031.201172,1092790
02-07-2014,1200,1205.875,1191.75,1200.800049,1035.881226,907740
03-07-2014,1199.5,1222.5,1196,1208.949951,1042.911499,1526762
04-07-2014,1206.199951,1212.75,1200.5,1205.25,1039.720093,536136
07-07-2014,1210.025024,1249,1205.199951,1244.275024,1073.38501,2204902
08-07-2014,1242.474976,1243.074951,1216.625,1224.724976,1056.520264,2500588
09-07-2014,1235,1236.324951,1190.800049,1199.074951,1034.393066,1554242
10-07-2014,1199.775024,1209.800049,1167.5,1175.900024,1014.401001,1990562
11-07-2014,1185.5,1205,1180.550049,1197.224976,1032.797119,1329446
14-07-2014,1209.400024,1219.5,1192.625,1213.125,1046.513184,1587924
15-07-2014,1213.099976,1215,1196.875,1199.650024,1034.88916,1389656
16-07-2014,1204.824951,1212,1193.425049,1200.925049,1035.989136,1407240
17-07-2014,1205,1214.900024,1187.5,1190.974976,1027.405396,1790220
18-07-2014,1226,1242.5,1217.5,1220.599976,1052.961426,3507488
21-07-2014,1234,1234.925049,1221.525024,1231.875,1062.688232,981072
22-07-2014,1232.5,1270,1230.949951,1266.199951,1092.29895,2399016
23-07-2014,1270,1298.150024,1266.150024,1293.074951,1115.483276,2065858
24-07-2014,1297.449951,1301,1283.5,1297.599976,1119.386475,1481418
